hab_section|hab_wikipage|pri_wikipage|type|text
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Monitoring Priority 139|monitoring|Develop sensors for biological and chemical sensing to determine status and trends, as well as tagging and tracking of wildlife (NIEPS 2010).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Monitoring Priority 140|monitoring|Coordinate and enhance water quality, physical habitat,and fisheries resource monitoring (including data management) from headwaters to the nearshore ocean.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 141|management practices|Planning and locating wastewater treatment facilities to areas above sea level will minimize or eliminate risks (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 142|management practices|Restore areas capable of supporting SAVs. This will require study of effective restoration techniques, bathymetric mapping, water quality monitoring, and other efforts (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 143|management practices|Develop and refine ecological flow requirements for each major river (APNEP 2012) that drains to estuarine waters.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 144|management practices|Reduce potential water pollution by protecting critical buffer areas of upstream drainages, sound planning, adopting low-impact development (LID) criteria, and other best practices.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 145|management practices|Establish contaminant management strategies for waters not meeting water quality standards. Strategies that addresspathogens, toxics, and nutrients are needed, not just the traditional total maximum daily load (TMDL) plans which primarily manage industrial point sources and municipal stormwater (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 146|management practices|Where practical, restore marsh habitatby filling drainage ditches and install tide gates in agricultural fields so that sea water does not flow inland through them (DeWan et al. 2010).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Management Practices Priority 147|management practices|Consider closing fisheries for declining species during the spawning season.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 148|conservation programs and partnerships|Facilitate the development of state and local policies that support the use of LID practices to reduce runoff (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 149|conservation programs and partnerships|Facilitate the use of BMPs on agricultural and silvicultural lands (APNEP 2012).Runoff can carry sediments, nitrogen, phosphorus, pesticides, and other substances into the sounds.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 150|conservation programs and partnerships|Facilitate protection of designated anadromous fish spawning areas and inland primary nursery areas from marina impacts (APNEP 2012).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 151|conservation programs and partnerships|Establish marsh habitats in cleared areas that are likely to become wetlands in the future due to inundation or frequent flooding.
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 152|conservation programs and partnerships|Protect conservation corridors that run from shorelines inland to facilitate habitat migration (DeWan et al. 2010).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 153|conservation programs and partnerships|Establish oyster reefs and SAV beds offshore to help buffer shorelines (DeWan et al. 2010; Pearsall and Poulter 2005).
4.2.14|Estuarine Aquatic Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 154|conservation programs and partnerships|Consider establishing marine reserves to provide refuge from fishing pressure, facilitate adult migration patterns and larval dispersal pathways, and support fisheries restoration efforts (DiBacco et al. 2006).
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Surveys Priority 155|surveys|Gather baseline information on sex ratios for species with temperature-dependent sex determination (all sea turtles, terrapins, alligators) to characterize impacts from climate change.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Research Priority 156|research|Determine the migration pathways and wintering grounds for marsh birds.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Research Priority 157|research|Investigate the mortality factors of sea turtles within the estuaries.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Research Priority 158|research|Determine the habitat use, population levels, and distribution of priority marsh birds such as the Seaside Sparrow, Willet, Least Bittern, American Bittern, King Rail, and Black Rail.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Research Priority 159|research|Investigate Nutria population densities, population growth rates, dispersal range, and extent of property damage from burrowing and herbivory.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Research Priority 160|research|Conduct research to better characterize the use of estuarine habitats by American Alligators.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Monitoring Priority 161|monitoring|Continue monitoring beach-nesting birds due to their high vulnerability.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Monitoring Priority 162|monitoring|Begin monitoring potential changes to offspring sex ratios for species with temperature-dependent sex determination (all sea turtles, Diamondback Terrapins, American Alligators).
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Monitoring Priority 163|monitoring|Collect spatial information on the distribution of estuarine habitats, document their characteristics, such as salinity, water levels, plant community struction and density, and monitor marsh die-back events.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Management Practices Priority 164|management practices|Allow barrier islands to migrate, as it increases their chance of survival and reduces the chance of sudden and drastic changes in tidal regime in the estuaries.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Management Practices Priority 165|management practices|Where practical, restore marsh habitat by filling drainage ditches and installing ditch plugs and water control structures. Ditches may accelerate erosion and the effects of rising sea level such as saltwater intrusion.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Management Practices Priority 166|management practices|Protect suitable nesting habitat for sea turtles and beach-nesting birds to maintain robust populations as disturbance and sea level rise issues mount.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Management Practices Priority 167|management practices|Continue working with the US Army Corps of Engineers and others to direct dredged material or conduct other management actions to refurbish waterbird nesting islands.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Management Practices Priority 168|management practices|Continue coordination with the NC Division of Marine Fisheries to minimize bycatch of protected/priority species in fishing gear.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Management Practices Priority 169|management practices|Control or minimize the amount of large gull depredation on other beach-nesting birds. These large gulls did not nest in the state until recent decades but are now greatly increasing in number and are causing more pressure on beach-nesting bird populations.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 170|conservation programs and partnerships|Protect tidal freshwater wetlands in rivers and upper sounds, some of which will become the extensive estuarine communities in the future. Salt and brackish marshes will benefit from this.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 171|conservation programs and partnerships|Protect buffers and floodplain rivers, as this will benefit estuaries by reducing pollutant input and reducing drastic changes in freshwater input.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 172|conservation programs and partnerships|Protect inland tidal freshwater wetlands, which will become extensive estuarine communities in the future, and allow the barrier islands to migrate and new inlets to form.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 173|conservation programs and partnerships|Protect habitats in large enough patches to sustain priority species, reconnect fragmented habitats, restore habitats that have been lost or converted, enhance the function and structure of habitats that have been degraded, and manage habitats for priority species (ACJV 2004).
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 174|conservation programs and partnerships|Work with partners (e.g., NC Coastal Federation, Audubon NC, TNC, Ducks Unlimited) to leverage funding programs such as the North American Wetlands Conservation Act that target conservation of coastal wetlands.
4.3.2|Estuarine Wetland Communities|NCWAP 2015 Conservation Programs And Partnerships Priority 175|conservation programs and partnerships|Implement conservation measures outlined in the Albemarle–Pamlico National Estuary Partnership (see http://portal.ncdenr.org/web/apnep).
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Surveys Priority 176|surveys|Document Bald Eagle nesting sites.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Surveys Priority 177|surveys|Survey for poorly known or secretive semi-aquatic snakes—Rainbow Snake, Glossy Crayfish Snake, and Black Swamp Snake.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Surveys Priority 178|surveys|Determine the breeding and roosting status and distribution of Chimney Swifts in natural conditions along major floodplains with appropriate habitat conditions (e.g. older, hollow trees).
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Surveys Priority 179|surveys|Design specific surveys to determine status and distribution of birds not adequately picked up by the Breeding Bird Survey in floodplain forests (e.g., the Cerulean Warbler, Swainson's Warbler, Kentucky Warbler, Worm-eating Warbler, Hooded Warbler, Prothonotary Warbler, etc.).
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Surveys Priority 180|surveys|Survey for bat species that roost or forage in blackwater systems.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Monitoring Priority 181|monitoring|Continue nest monitoring for colonial waterbirds, especially Wood Storks.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Monitoring Priority 182|monitoring|Continue long-term monitoring of active Bald Eagle territories, successful breeding pairs, and fledged eagles.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Monitoring Priority 183|monitoring|Establish Monitoring Avian Productivity and Survivorship (MAPS) and migration banding stations, as well as specialized long-term monitoring for hard-to-sample species such as the Cerulean and Swainson's warbler (Graves 2001).
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Management Practices Priority 184|management practices|Explore techniques for restoration of tidal swamp forest and wetlands.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Monitoring Priority 185|monitoring|Investigate the past, current, and potential future impact of nutria on both floral and faunal communities and individual species.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Research Priority 186|research|Research the genetic makeup of the coastal population of the Black-throated Green Warbler.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Research Priority 187|research|Research the genetic relationships among floodplain salamanders.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Monitoring Priority 188|monitoring|Determine the conservation and restoration efforts needed for priority species in this habitat.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Management Practices Priority 189|management practices|Wherever possible, maintain or restore floodplain forest connectivity, as floodplain forests are important distribution and dispersal corridors for many species (Bailey et al. 2004). This would benefit floodplain forest species such as the Northern Parula, Yellow-Throated Warbler, Prothonotary Warbler, Wood Thrush, Swainson's Warbler, and Acadian Flycatcher, as well as amphibians, Timber Rattlesnakes, and forest bats.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Management Practices Priority 190|management practices|Ensure floodplain buffers of 300 to 600 feet in as many areas as possible. Where possible, forest patches should be connected along river systems to provide connectivity.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Management Practices Priority 191|management practices|Ensure floodplain buffers of 300 to 600 feet in as many areas as possible. Where possible, forest patches should be connected along river systems to provide connectivity.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Monitoring Priority 192|monitoring|Make an attempt to protect waterbird nesting colonies.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 193|conservation programs and partnerships|Initiate partnerships with the Natural Resources Conservation Service to begin cane restoration projects and research.
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 194|conservation programs and partnerships|Continue cooperative efforts with colonial waterbird (wading bird) working groups and follow future management recommendations from the North American Waterbird Management Plan (Kushlan et al. 2002).
4.3.3|Floodplains-Blackwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 195|conservation programs and partnerships|Work to develop eight patches of forested wetlands at least 10,000 acres in size throughout the South Atlantic Coastal Plain, as called for in the South Atlantic Coastal Plain Partners in Flight Bird Conservation Plan (Hunter et al. 2001b).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 196|surveys|Conduct surveys to document the distribution, relative abundance, and status of wildlife species associated with brownwater floodplain forest habitats. Priorities include Swallow-tailed Kite, Cerulean Warbler, Wood Stork, bats, and species believed to be declining, at risk, or mainly dependent on floodplain forest communities.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 197|surveys|Give secondary priority to surveys of species for which current distribution information is already available or for species that are considered common.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 198|surveys|Design specific surveys to determine status and distribution of birds not adequately picked up by the Breeding Bird Survey in floodplain forests (e.g., the Cerulean Warbler, Swainson's Warbler, Kentucky Warbler, Worm-eating Warbler, Hooded Warbler, Prothonotary Warbler, etc.).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 199|surveys|Determine the status and distribution of Wayne's Black-throated Green Warbler.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 200|surveys|Determine the status and distribution of the Swallow-tailed Kite, Mississippi Kite, Yellow-crowned Night-heron, and Anhinga (as well as other colonial nesting waterbirds).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 201|surveys|Determine the breeding and roosting status and distribution of the Chimney Swift in natural conditions along major floodplains with appropriate habitat conditions (e.g., older, hollow trees).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 202|surveys|Determine the status and distribution of priority bat species, including Northern Long-eared Bat, Rafinesque's Big-eared Bat, Northern Yellow Bat, Seminole Bat, Southeastern Bat, Little Brown Bat, and Tricolored Bat.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 203|surveys|Conduct small mammal surveys, especially for the Eastern Woodrat, with a focus on circumneutral soils (other small mammal survey needs include the Cotton Mouse and Southern Pygmy Shrew).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 204|surveys|Determine the status and distribution of snakes using floodplain forest habitats (Taylor and Jones 2002).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Surveys Priority 205|surveys|Document Bald Eagle nesting sites.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 206|research|Ensure that research studies targeting birds are long-term, large-scale, replicated studies that have controlled experimental approaches and focus on population demographics and the response of species to habitat manipulations where appropriate (as outlined by the National Partners in Flight Research working group) (Donovan et al. 2002; NCWRC 2005). Similar research priorities are needed for other floodplain forest taxa including bats, small mammals, amphibians, and reptiles.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 207|research|Ensure that research studies targeting birds are long-term, large-scale, replicated studies that have controlled experimental approaches and focus on population demographics and the response of species to habitat manipulations where appropriate (as outlined by the National Partners in Flight Research working group) (Donovan et al. 2002; NCWRC 2005). Similar research priorities are needed for other floodplain forest taxa including bats, small mammals, amphibians, and reptiles.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 208|research|Research the genetic makeup of the coastal population of the Black-throated Green Warbler.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 209|research|Research the genetic relationships among floodplain salamanders.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 210|research|Examine the impacts of long-term flooding regimes on ground-nesting birds (e.g., Swainson's Warbler) (Swift et al. 1984). Similar studies are also needed for salamanders.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 211|research|Determine the conservation and restoration efforts needed for canebrake rattlesnakes in floodplain forests (Brantley and Platt 2001).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 212|research|Conduct bird productivity research (especially neotropical migrants) with a focus on nest searching studies to determine the predator community and bird nesting success in patches of different sizes and with various landscape contexts (Rodewald and Yahner 2001).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 213|research|Examine the demographics, habitat-use patterns, and impacts of feral hogs on ground-nesting birds, salamanders, and small mammals (Warren and Ford 1997).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Research Priority 214|research|Study the impacts of beaver and beaver ponds on species composition (both flora and fauna) to determine negative or positive impacts of beaver or beaver control measures.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 215|monitoring|Expand and/or target monitoring systems to be able to assess current population status and trend information for all wildlife species associated with floodplain forest habitats.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 216|monitoring|Continue long-term monitoring of active Bald Eagle territories, successful breeding pairs, and fledged eagles.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 217|monitoring|Develop monitoring for any North Carolina floodplain forest bird species that require specialized attention, since neither BBS nor standard point counts can adequately sample irregularly distributed or clumped species like Kentucky, Cerulean, and Swainson's warblers.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 218|monitoring|Develop or enhance long-term monitoring for amphibians and reptiles (Taylor and Jones 2002).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 219|monitoring|Develop or enhance long-term monitoring for most bat species (Ellis et al. 2002).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 220|monitoring|Conduct long-term monitoring for floodplain forest birds (breeding, migration, and winter periods) in forest patches of varying size (Robbins et al. 1989; Doherty and Grubb 2000).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 221|monitoring|Establish long-term monitoring for herpetofauna using floodplain forest habitat (especially breeding salamanders and snakes).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Monitoring Priority 222|monitoring|Examine demographics and habitat use of bats in floodplain forests; there is also a need to identify, monitor, and maintain (or recruit) key bat habitats and microhabitats in floodplain forests (Ellis et al. 2002).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Management Practices Priority 223|management practices|Make efforts to retain old growth floodplain forest (for Chimney Swifts, bats, and herpetofauna).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Management Practices Priority 224|management practices|Ensure floodplain buffers of 300 to 600 feet in as many areas as possible. This would benefit floodplain forest species such as the Northern Parula, Swallow-tailed Kite, Mississippi Kite, Prothonotary Warbler, Wood Thrush, Swainson's and Cerulean warblers, and Acadian Flycatcher, as well as amphibians, Timber Rattlesnakes, and forest bats.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Management Practices Priority 225|management practices|Restore natural hydrology where dams have altered hydrology, such as on the Roanoke River.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Management Practices Priority 226|management practices|Work with partners to institute more natural water release regimes from dams.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Management Practices Priority 227|management practices|Wherever possible, maintain or restore floodplain forest connectivity, as floodplain forests are important distribution and dispersal corridors for many species (Bailey et al. 2004). This would benefit floodplain forest species such as the Northern Parula, Yellow-Throated Warbler, Prothonotary Warbler, Wood Thrush, Swainson's Warbler, and Acadian Flycatcher, as well as amphibians, Timber Rattlesnakes, and forest bats.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Management Practices Priority 228|management practices|Floodplain buffers of 300 to 600 feet provide the most benefit for species such as Northern Parula, Yellow-throated Warbler, Prothonotary Warbler, Wood Thrush, Swainson's Warbler, Worm-eating Warbler, and Acadian Flycatcher, as well as amphibians, snakes, and forest bats.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 229|conservation programs and partnerships|Make an attempt to protect waterbird nesting colonies. Continue cooperative efforts with colonial waterbird (wading bird) working groups and follow future management recommendations from the North American Waterbird Management Plan (Kushlan et al. 2002).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 230|conservation programs and partnerships|Make efforts to retain old growth floodplain forest for chimney swifts, bats, and herpetofauna.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 231|conservation programs and partnerships|Work to develop eight patches of forested wetlands at least 10,000 acres in size throughout the South Atlantic Coastal Plain, as called for in the South Atlantic Coastal Plain Partners in Flight Bird Conservation Plan (Hunter et al. 2000b).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 232|conservation programs and partnerships|Initiate partnerships with the Natural Resources Conservation Service to begin cane restoration projects and research.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 233|conservation programs and partnerships|Further expand the Forest Landbird Legacy Program (a cooperative effort between the Commission, the US Fish and Wildlife Service [USFWS], and the Natural Resources Conservation Service) to influence habitat for birds and other wildlife in mature floodplain forest through canopy gap management and other options.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 234|conservation programs and partnerships|Concentrate conservation efforts on the Pee Dee and Dan River basins, as they contain some of the larger tracts of intact floodplain forest left in the Piedmont and offer some of the best opportunities for large-scale habitat conservation.
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 235|conservation programs and partnerships|Pursue land acquisition and easements through cooperation with land trusts with an effort to increase the width of riparian buffers and create larger patches of connected habitat. Priority should be given to brownwater bottomlands, as these are the most species-rich and are more susceptible to clearcutting and other timber harvest than cypress-gum swamps (i.e., wetter sites) (NCWRC 2005).
4.3.4|Floodplains-Brownwater Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 236|conservation programs and partnerships|Wherever possible, maintenance or restoration of floodplain forest connectivity should be pursued; floodplain forest are important distribution and dispersal corridors for many species (Bailey et al. 2004 in NCWRC 2005).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 237|surveys|Design specific surveys to determine status and distribution of birds not adequately picked up by the Breeding Bird Survey in floodplain forests (e.g., the Cerulean Warbler, Swainson's Warbler, Kentucky Warbler, Worm-eating Warbler, Hooded Warbler, Prothonotary Warbler, etc.).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 238|surveys|Determine the status and distribution of Wayne's Black-throated Green Warbler.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 239|surveys|Determine the status and distribution of the Swallow-tailed Kite, Mississippi Kite, Yellow-crowned Night-heron, and Anhinga (as well as other colonial nesting waterbirds).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 240|surveys|Determine the breeding and roosting status and distribution of the Chimney Swift in natural conditions along major floodplains with appropriate habitat conditions (e.g., older, hollow trees).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 241|surveys|Determine the status and distribution of priority bat species, including Northern Long-eared Bat, Rafinesque's Big-eared Bat, Northern Yellow Bat, Seminole Bat, Southeastern Bat, Little Brown Bat, and Tricolored Bat.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 242|surveys|Conduct small mammal surveys, especially for the Eastern Woodrat, with a focus on circumneutral soils (other small mammal survey needs include the Cotton Mouse and Southern Pygmy Shrew).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 243|surveys|Determine the status and distribution of snakes using floodplain forest habitats (Taylor and Jones 2002).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Surveys Priority 244|surveys|Document Bald Eagle nesting sites.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 245|research|Ensure that research studies targeting birds are long-term, large-scale, replicated studies that have controlled experimental approaches and focus on population demographics and the response of species to habitat manipulations where appropriate (as outlined by the National Partners in Flight Research working group) (Donovan et al. 2002). Similar research priorities are needed for other floodplain forest taxa including bats, small mammals, amphibians, and reptiles.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 246|research|Research the genetic makeup of the coastal population of the Black-throated Green Warbler.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 247|research|Research the genetic relationships among floodplain salamanders.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 248|research|Examine the impacts of long-term flooding regimes on ground-nesting birds (e.g., Swainson's Warbler) (Swift et al. 1984). Similar studies are also needed for salamanders.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 249|research|Determine the conservation and restoration efforts needed for canebrake rattlesnakes in floodplain forests (Brantley and Platt 2001).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 250|research|Conduct bird productivity research (especially neotropical migrants) with a focus on nest searching studies to determine the predator community and bird nesting success in patches of different sizes and with various landscape contexts (Rodewald and Yahner 2001).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 251|research|Study the effects of riverine buffer width characteristics on bird species diversity, richness, survival, nest success, and productivity (Perkins et al. 2003). Similar studies are also needed for small mammals, bats, amphibians, and reptiles to determine long-term productivity in buffers of various widths.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 252|research|Examine the demographics, habitat-use patterns, and impacts of feral hogs on ground-nesting birds, salamanders, and small mammals (Warren and Ford 1997).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Research Priority 253|research|Study the impacts of beaver and beaver ponds on species composition (both flora and fauna) to determine negative or positive impacts of beaver or beaver control measures.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Monitoring Priority 254|monitoring|Continue long-term monitoring of active Bald Eagle territories, successful breeding pairs, and fledged eagles.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Monitoring Priority 255|monitoring|Develop monitoring for any North Carolina floodplain forest bird species that require specialized attention, since neither BBS nor standard point counts can adequately sample irregularly distributed or clumped species like Kentucky, Cerulean, and Swainson's warblers.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Monitoring Priority 256|monitoring|Develop or enhance long-term monitoring for most bat species (Ellis et al. 2002).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Monitoring Priority 257|monitoring|Conduct long-term monitoring for floodplain forest birds (breeding, migration, and winter periods) in forest patches of varying size (Robbins et al. 1989; Doherty and Grubb 2000).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Monitoring Priority 258|monitoring|Establish long-term monitoring for herpetofauna using floodplain forest habitat (especially breeding salamanders and snakes).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Monitoring Priority 259|monitoring|Examine demographics and habitat use of bats in floodplain forests; there is also a need to identify, monitor, and maintain (or recruit) key bat habitats and microhabitats in floodplain forests (Ellis et al. 2002).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Management Practices Priority 260|management practices|Wherever possible, maintain or restore floodplain forest connectivity, as floodplain forests are important distribution and dispersal corridors for many species (Bailey et al. 2004). This would benefit floodplain forest species such as the Northern Parula, Yellow-Throated Warbler, Prothonotary Warbler, Wood Thrush, Swainson's Warbler, and Acadian Flycatcher, as well as amphibians, Timber Rattlesnakes, and forest bats.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Management Practices Priority 261|management practices|Floodplain buffers of 300 to 600 feet provide the most benefit for species such as Northern Parula, Yellow-throated Warbler, Prothonotary Warbler, Wood Thrush, Swainson's Warbler, Worm-eating Warbler, and Acadian Flycatcher, as well as amphibians, snakes, and forest bats.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 262|conservation programs and partnerships|Make an attempt to protect waterbird nesting colonies. Continue cooperative efforts with colonial waterbird (wading bird) working groups and follow future management recommendations from the North American Waterbird Management Plan (Kushlan et al. 2002).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 263|conservation programs and partnerships|Make efforts to retain old growth floodplain forest for chimney swifts, bats, and herpetofauna.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 264|conservation programs and partnerships|Work to develop eight patches of forested wetlands at least 10,000 acres in size throughout the South Atlantic Coastal Plain, as called for in the South Atlantic Coastal Plain Partners in Flight Bird Conservation Plan (Hunter et al. 2000b).
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 265|conservation programs and partnerships|Initiate partnerships with the Natural Resources Conservation Service to begin cane restoration projects and research.
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 266|conservation programs and partnerships|Further expand the Forest Landbird Legacy Program (a cooperative effort between the Commission, the US Fish and Wildlife Service [USFWS], and the Natural Resources Conservation Service) to influence habitat for birds and other wildlife in mature floodplain forest through canopy gap management and other options.
