search_term,id
razorbill,spp-razorbill
redbellied woodpecker,spp-red-bellied-woodpecker
redbilled tropicbird,spp-red-billed-tropicbird
redbreasted merganser,spp-red-breasted-merganser
redbreasted nuthatch,spp-red-breasted-nuthatch
redcockaded woodpecker,spp-red-cockaded-woodpecker
red crossbill,spp-red-crossbill
reddish egret,spp-reddish-egret
redeyed vireo,spp-red-eyed-vireo
redhead,spp-redhead
redheaded woodpecker,spp-red-headed-woodpecker
red knot,spp-red-knot
rednecked grebe,spp-red-necked-grebe
rednecked phalarope,spp-red-necked-phalarope
red phalarope,spp-red-phalarope
redshouldered hawk,spp-red-shouldered-hawk
redtailed hawk,spp-red-tailed-hawk
redthroated loon,spp-red-throated-loon
redwinged blackbird,spp-red-winged-blackbird
ringbilled gull,spp-ring-billed-gull
ringnecked duck,spp-ring-necked-duck
ringnecked pheasant,spp-ring-necked-pheasant
rock pigeon,spp-rock-pigeon
roseate spoonbill,spp-roseate-spoonbill
roseate tern,spp-roseate-tern
rosebreasted grosbeak,spp-rose-breasted-grosbeak
rosss goose,spp-rosss-goose
ross goose,spp-rosss-goose
roughlegged hawk,spp-rough-legged-hawk
royal tern,spp-royal-tern
rubycrowned kinglet,spp-ruby-crowned-kinglet
rubythroated hummingbird,spp-ruby-throated-hummingbird
ruddy duck,spp-ruddy-duck
ruddy turnstone,spp-ruddy-turnstone
ruff,spp-ruff
ruffed grouse,spp-ruffed-grouse
rufous hummingbird,spp-rufous-hummingbird
rusty blackbird,spp-rusty-blackbird
sabines gull,spp-sabines-gull
sabine gull,spp-sabines-gull
sage thrasher,spp-sage-thrasher
saltmarsh sharptailed sparrow,spp-saltmarsh-sharp-tailed-sparrow
sanderling,spp-sanderling
sandhill crane,spp-sandhill-crane
sandwich tern,spp-sandwich-tern
savannah sparrow,spp-savannah-sparrow
says phoebe,spp-says-phoebe
say phoebe,spp-says-phoebe
scarlet tanager,spp-scarlet-tanager
scissortailed flycatcher,spp-scissor-tailed-flycatcher
seaside sparrow,spp-seaside-sparrow
sedge wren,spp-sedge-wren
semipalmated plover,spp-semipalmated-plover
semipalmated sandpiper,spp-semipalmated-sandpiper
sharpshinned hawk,spp-sharp-shinned-hawk
shiny cowbird,spp-shiny-cowbird
shortbilled dowitcher,spp-short-billed-dowitcher
shorteared owl,spp-short-eared-owl
slatybacked gull,spp-slaty-backed-gull
smiths longspur,spp-smiths-longspur
smith longspur,spp-smiths-longspur
smoothbilled ani,spp-smooth-billed-ani
snow bunting,spp-snow-bunting
snow goose,spp-snow-goose
snowy egret,spp-snowy-egret
snowy owl,spp-snowy-owl
snowy plover,spp-snowy-plover
solitary sandpiper,spp-solitary-sandpiper
song sparrow,spp-song-sparrow
sooty shearwater,spp-sooty-shearwater
sooty tern,spp-sooty-tern
sora,spp-sora
south polar skua,spp-south-polar-skua
spotted redshank,spp-spotted-redshank
spotted sandpiper,spp-spotted-sandpiper
spotted towhee,spp-spotted-towhee
spragues pipit,spp-spragues-pipit
sprague pipit,spp-spragues-pipit
stilt sandpiper,spp-stilt-sandpiper
summer tanager,spp-summer-tanager
surf scoter,spp-surf-scoter
swainsons hawk,spp-swainsons-hawk
swainson hawk,spp-swainsons-hawk
swainsons thrush,spp-swainsons-thrush
swainson thrush,spp-swainsons-thrush
swainsons warbler,spp-swainsons-warbler
swainson warbler,spp-swainsons-warbler
swallowtailed kite,spp-swallow-tailed-kite
swamp sparrow,spp-swamp-sparrow
swinhoes storm-petrel,spp-swinhoes-storm-petrel
swinhoe storm-petrel,spp-swinhoes-storm-petrel
tennessee warbler,spp-tennessee-warbler
thayers gull,spp-thayers-gull
thayer gull,spp-thayers-gull
thickbilled murre,spp-thick-billed-murre
townsends warbler,spp-townsends-warbler
townsend warbler,spp-townsends-warbler
tree swallow,spp-tree-swallow
tricolored heron,spp-tricolored-heron
tropical kingbird,spp-tropical-kingbird
trumpeter swan,spp-trumpeter-swan
tufted titmouse,spp-tufted-titmouse
tundra swan,spp-tundra-swan
turkey vulture,spp-turkey-vulture
upland sandpiper,spp-upland-sandpiper
veery,spp-veery
vermilion flycatcher,spp-vermilion-flycatcher
vesper sparrow,spp-vesper-sparrow
virginia rail,spp-virginia-rail
warbling vireo,spp-warbling-vireo
waynes black-throated green warbler,spp-waynes-black-throated-green-warbler
wayne black-throated green warbler,spp-waynes-black-throated-green-warbler
western grebe,spp-western-grebe
western kingbird,spp-western-kingbird
western meadowlark,spp-western-meadowlark
western sandpiper,spp-western-sandpiper
western tanager,spp-western-tanager
whimbrel,spp-whimbrel
whippoorwill,spp-whip-poor-will
whitebreasted nuthatch,spp-white-breasted-nuthatch
White-crowned Sparrow,spp-white-crowned-sparrow
whitecrowned sparrow,spp-white-crowned-sparrow
whiteeyed vireo,spp-white-eyed-vireo
whitefaced ibis,spp-white-faced-ibis
whitefaced stormpetrel,spp-white-faced-storm-petrel
white ibis,spp-white-ibis
whiterumped sandpiper,spp-white-rumped-sandpiper
whitetailed kite,spp-white-tailed-kite
whitetailed tropicbird,spp-white-tailed-tropicbird
White-throated Sparrow,spp-white-throated-sparrow
whitethroated sparrow,spp-white-throated-sparrow
white wagtail,spp-white-wagtail
whitewinged crossbill,spp-white-winged-crossbill
whitewinged dove,spp-white-winged-dove
whitewinged scoter,spp-white-winged-scoter
whitewinged tern,spp-white-winged-tern
wild turkey,spp-wild-turkey
willet,spp-willet
willow flycatcher,spp-willow-flycatcher
wilsons phalarope,spp-wilsons-phalarope
wilson phalarope,spp-wilsons-phalarope
wilsons plover,spp-wilsons-plover
wilson plover,spp-wilsons-plover
wilsons snipe,spp-wilsons-snipe
wilson snipe,spp-wilsons-snipe
wilsons storm-petrel,spp-wilsons-storm-petrel
wilson storm-petrel,spp-wilsons-storm-petrel
wilsons warbler,spp-wilsons-warbler
wilson warbler,spp-wilsons-warbler
winter wren,spp-winter-wren
wood duck,spp-wood-duck
wood stork,spp-wood-stork
wood thrush,spp-wood-thrush
wormeating warbler,spp-worm-eating-warbler
yellowbellied flycatcher,spp-yellow-bellied-flycatcher
yellowbellied sapsucker,spp-yellow-bellied-sapsucker
yellowbilled cuckoo,spp-yellow-billed-cuckoo
yellowbreasted chat,spp-yellow-breasted-chat
yellowcrowned nightheron,spp-yellow-crowned-night-heron
yellowheaded blackbird,spp-yellow-headed-blackbird
yellowlegged gull,spp-yellow-legged-gull
yellownosed albatross,spp-yellow-nosed-albatross
yellow rail,spp-yellow-rail
yellowrumped warbler,spp-yellow-rumped-warbler
yellowthroated vireo,spp-yellow-throated-vireo
yellowthroated warbler,spp-yellow-throated-warbler
yellow warbler,spp-yellow-warbler
Accipiter cooperii,spp-coopers-hawk
Accipiter gentilis,spp-northern-goshawk
Accipiter striatus,spp-sharp-shinned-hawk
Actitis macularius,spp-spotted-sandpiper
Aechmophorus clarkii,spp-clarks-grebe
Aechmophorus occidentalis,spp-western-grebe
Aegolius acadicus,spp-northern-saw-whet-owl
Agelaius phoeniceus,spp-red-winged-blackbird
Aimophila aestivalis,spp-bachmans-sparrow
Aix sponsa,spp-wood-duck
Alca torda,spp-razorbill
Alle alle,spp-dovekie
Ammodramus caudacutus,spp-saltmarsh-sharp-tailed-sparrow
Ammodramus henslowii,spp-henslows-sparrow
Ammodramus leconteii,spp-le-contes-sparrow
Ammodramus maritimus,spp-seaside-sparrow
Ammodramus nelsoni,spp-nelsons-sharp-tailed-sparrow
Ammodramus savannarum,spp-grasshopper-sparrow
Anas acuta,spp-northern-pintail
Anas americana,spp-american-wigeon
Anas clypeata,spp-northern-shoveler
Anas crecca,spp-green-winged-teal
Anas cyanoptera,spp-cinnamon-teal
Anas discors,spp-blue-winged-teal
Anas fulvigula,spp-mottled-duck
Anas penelope,spp-eurasian-wigeon
Anas platyrhynchos,spp-mallard
Anas querquedula,spp-garganey
Anas rubripes,spp-american-black-duck
Anas strepera,spp-gadwall
Anhinga anhinga,spp-anhinga
Anous stolidus,spp-brown-noddy
Anser albifrons,spp-greater-white-fronted-goose
Anthracothorax prevostii,spp-green-breasted-mango
Anthus rubescens,spp-american-pipit
Anthus spragueii,spp-spragues-pipit
Aquila chrysaetos,spp-golden-eagle
Aramus guarauna,spp-limpkin
Archilochus alexandri,spp-black-chinned-hummingbird
Archilochus colubris,spp-ruby-throated-hummingbird
Ardea alba,spp-great-egret
Ardea herodias,spp-great-blue-heron
Arenaria interpres,spp-ruddy-turnstone
Asio flammeus,spp-short-eared-owl
Asio otus,spp-long-eared-owl
Athene cunicularia,spp-burrowing-owl
Aythya affinis,spp-lesser-scaup
Aythya americana,spp-redhead
Aythya collaris,spp-ring-necked-duck
Aythya marila,spp-greater-scaup
Aythya valisineria,spp-canvasback
Baeolophus bicolor,spp-tufted-titmouse
Bartramia longicauda,spp-upland-sandpiper
Bombycilla cedrorum,spp-cedar-waxwing
Bonasa umbellus,spp-ruffed-grouse
Botaurus lentiginosus,spp-american-bittern
Brachyramphus perdix,spp-long-billed-murrelet
Branta bernicla,spp-brant
Branta canadensis,spp-canada-goose
Branta hutchinsii,spp-cackling-goose
Branta leucopsis,spp-barnacle-goose
Bubo scandiacus,spp-snowy-owl
Bubo virginianus,spp-great-horned-owl
Bubulcus ibis,spp-cattle-egret
Bucephala albeola,spp-bufflehead
Bucephala clangula,spp-common-goldeneye
Bulweria bulwerii,spp-bulwers-petrel
Buteo jamaicensis,spp-red-tailed-hawk
Buteo lagopus,spp-rough-legged-hawk
Buteo lineatus,spp-red-shouldered-hawk
Buteo platypterus,spp-broad-winged-hawk
Buteo swainsoni,spp-swainsons-hawk
Butorides virescens,spp-green-heron
Calamospiza melanocorys,spp-lark-bunting
Calcarius lapponicus,spp-lapland-longspur
Calcarius ornatus,spp-chestnut-collared-longspur
Calcarius pictus,spp-smiths-longspur
Calidris alba,spp-sanderling
Calidris alpina,spp-dunlin
Calidris bairdii,spp-bairds-sandpiper
Calidris canutus,spp-red-knot
Calidris ferruginea,spp-curlew-sandpiper
Calidris fuscicollis,spp-white-rumped-sandpiper
Calidris himantopus,spp-stilt-sandpiper
Calidris maritima,spp-purple-sandpiper
Calidris mauri,spp-western-sandpiper
Calidris melanotos,spp-pectoral-sandpiper
Calidris minuta,spp-little-stint
Calidris minutilla,spp-least-sandpiper
Calidris pusilla,spp-semipalmated-sandpiper
Calonectris diomedea,spp-corys-shearwater
Calonectris edwardsii,spp-cape-verde-shearwater
Calypte anna,spp-annas-hummingbird
Caprimulgus carolinensis,spp-chuck-wills-widow
Caprimulgus vociferus,spp-whip-poor-will
Cardinalis cardinalis,spp-northern-cardinal
Carduelis flammea,spp-common-redpoll
Carduelis pinus,spp-pine-siskin
Carduelis psaltria,spp-lesser-goldfinch
Carduelis tristis,spp-american-goldfinch
Carpodacus mexicanus,spp-house-finch
Carpodacus purpureus,spp-purple-finch
Cathartes aura,spp-turkey-vulture
Catharus bicknelli,spp-bicknells-thrush
Catharus fuscescens,spp-veery
Catharus guttatus,spp-hermit-thrush
Catharus minimus,spp-gray-cheeked-thrush
Catharus ustulatus,spp-swainsons-thrush
Cepphus grylle,spp-black-guillemot
Certhia americana,spp-brown-creeper
Ceryle alcyon,spp-belted-kingfisher
Chaetura pelagica,spp-chimney-swift
Charadrius alexandrinus,spp-snowy-plover
Charadrius melodus,spp-piping-plover
Charadrius semipalmatus,spp-semipalmated-plover
Charadrius vociferus,spp-killdeer
Charadrius wilsonia,spp-wilsons-plover
Chen caerulescens,spp-snow-goose
Chen rossii,spp-rosss-goose
Chlidonias leucopterus,spp-white-winged-tern
Chlidonias niger,spp-black-tern
Chondestes grammacus,spp-lark-sparrow
Chordeiles acutipennis,spp-lesser-nighthawk
Chordeiles gundlachii,spp-antillean-nighthawk
Chordeiles minor,spp-common-nighthawk
Circus cyaneus,spp-northern-harrier
Cistothorus palustris,spp-marsh-wren
Cistothorus platensis,spp-sedge-wren
Clangula hyemalis,spp-long-tailed-duck
Coccothraustes vespertinus,spp-evening-grosbeak
Coccyzus americanus,spp-yellow-billed-cuckoo
Coccyzus erythropthalmus,spp-black-billed-cuckoo
Colaptes auratus,spp-northern-flicker
Colibri thalassinus,spp-green-violet-ear
Colinus virginianus,spp-northern-bobwhite
Columba livia,spp-rock-pigeon
Columbina passerina,spp-common-ground-dove
Contopus cooperi,spp-olive-sided-flycatcher
Contopus virens,spp-eastern-wood-pewee
Coragyps atratus,spp-black-vulture
Corvus brachyrhynchos,spp-american-crow
Corvus corax,spp-common-raven
Corvus ossifragus,spp-fish-crow
Coturnicops noveboracensis,spp-yellow-rail
Crotophaga ani,spp-smooth-billed-ani
Crotophaga sulcirostris,spp-groove-billed-ani
Cyanocitta cristata,spp-blue-jay
Cygnus buccinator,spp-trumpeter-swan
Cygnus columbianus,spp-tundra-swan
Cygnus olor,spp-mute-swan
Cynanthus latirostris,spp-broad-billed-hummingbird
Dendrocygna autumnalis,spp-black-bellied-whistling-duck
Dendrocygna bicolor,spp-fulvous-whistling-duck
Dendroica caerulescens,spp-black-throated-blue-warbler
Dendroica castanea,spp-bay-breasted-warbler
Dendroica cerulea,spp-cerulean-warbler
Dendroica coronata,spp-yellow-rumped-warbler
Dendroica discolor,spp-prairie-warbler
Dendroica dominica,spp-yellow-throated-warbler
Dendroica fusca,spp-blackburnian-warbler
Dendroica kirtlandii,spp-kirtlands-warbler
Dendroica magnolia,spp-magnolia-warbler
Dendroica nigrescens,spp-black-throated-gray-warbler
Dendroica palmarum,spp-palm-warbler
Dendroica pensylvanica,spp-chestnut-sided-warbler
Dendroica petechia,spp-yellow-warbler
Dendroica pinus,spp-pine-warbler
Dendroica striata,spp-blackpoll-warbler
Dendroica tigrina,spp-cape-may-warbler
Dendroica townsendi,spp-townsends-warbler
Dendroica virens,spp-black-throated-green-warbler
Dendroica virens waynei,spp-waynes-black-throated-green-warbler
Dolichonyx oryzivorus,spp-bobolink
Dryocopus pileatus,spp-pileated-woodpecker
Dumetella carolinensis,spp-gray-catbird
Egretta caerulea,spp-little-blue-heron
Egretta rufescens,spp-reddish-egret
Egretta thula,spp-snowy-egret
Egretta tricolor,spp-tricolored-heron
Elanoides forficatus,spp-swallow-tailed-kite
Elanus leucurus,spp-white-tailed-kite
Empidonax alnorum,spp-alder-flycatcher
Empidonax difficilis/occidentalis,spp-pacific-slopecordilleran-flycatcher
Empidonax flaviventris,spp-yellow-bellied-flycatcher
Empidonax minimus,spp-least-flycatcher
Empidonax traillii,spp-willow-flycatcher
Empidonax virescens,spp-acadian-flycatcher
Empidonax wrightii,spp-gray-flycatcher
Eremophila alpestris,spp-horned-lark
Eudocimus albus,spp-white-ibis
Euphagus carolinus,spp-rusty-blackbird
Euphagus cyanocephalus,spp-brewers-blackbird
Falco columbarius,spp-merlin
Falco peregrinus,spp-peregrine-falcon
Falco rusticolus,spp-gyrfalcon
Falco sparverius,spp-american-kestrel
Fratercula arctica,spp-atlantic-puffin
Fregata magnificens,spp-magnificent-frigatebird
Fregetta tropica,spp-black-bellied-storm-petrel
Fringilla montifringilla,spp-brambling
Fulica americana,spp-american-coot
Fulmarus glacialis,spp-northern-fulmar
Gallinago delicata,spp-wilsons-snipe
Gallinula chloropus,spp-common-moorhen
Gavia immer,spp-common-loon
Gavia pacifica,spp-pacific-loon
Gavia stellata,spp-red-throated-loon
Gelochelidon nilotica,spp-gull-billed-tern
Geothlypis trichas,spp-common-yellowthroat
Grus canadensis,spp-sandhill-crane
Haematopus palliatus,spp-american-oystercatcher
Haliaeetus leucocephalus,spp-bald-eagle
Helmitheros vermivorum,spp-worm-eating-warbler
Himantopus mexicanus,spp-black-necked-stilt
Hirundo rustica,spp-barn-swallow
Histrionicus histrionicus,spp-harlequin-duck
Hydrobates pelagicus,spp-european-storm-petrel
Hydroprogne caspia,spp-caspian-tern
Hylocichla mustelina,spp-wood-thrush
Icteria virens,spp-yellow-breasted-chat
Icterus bullockii,spp-bullocks-oriole
Icterus galbula,spp-baltimore-oriole
Icterus spurius,spp-orchard-oriole
Ictinia mississippiensis,spp-mississippi-kite
Ixobrychus exilis,spp-least-bittern
Junco hyemalis,spp-dark-eyed-junco
Lanius excubitor,spp-northern-shrike
Lanius ludovicianus,spp-loggerhead-shrike
Larus argentatus,spp-herring-gull
Larus atricilla,spp-laughing-gull
Larus cachinnans,spp-yellow-legged-gull
Larus californicus,spp-california-gull
Larus canus,spp-mew-gull
Larus crassirostris,spp-black-tailed-gull
Larus delawarensis,spp-ring-billed-gull
Larus fuscus,spp-lesser-black-backed-gull
Larus glaucoides,spp-iceland-gull
Larus hyperboreus,spp-glaucous-gull
Larus marinus,spp-great-black-backed-gull
Larus minutus,spp-little-gull
Larus philadelphia,spp-bonapartes-gull
Larus pipixcan,spp-franklins-gull
Larus ridibundus,spp-black-headed-gull
Larus schistisagus,spp-slaty-backed-gull
Larus thayeri,spp-thayers-gull
Laterallus jamaicensis,spp-black-rail
Limnodromus griseus,spp-short-billed-dowitcher
Limnodromus scolopaceus,spp-long-billed-dowitcher
Limnothlypis swainsonii,spp-swainsons-warbler
Limosa fedoa,spp-marbled-godwit
Limosa haemastica,spp-hudsonian-godwit
Limosa lapponica,spp-bar-tailed-godwit
Limosa limosa,spp-black-tailed-godwit
Lophodytes cucullatus,spp-hooded-merganser
Loxia curvirostra,spp-red-crossbill
Loxia leucoptera,spp-white-winged-crossbill
Megascops asio,spp-eastern-screech-owl
Melanerpes carolinus,spp-red-bellied-woodpecker
Melanerpes erythrocephalus,spp-red-headed-woodpecker
Melanitta fusca,spp-white-winged-scoter
Melanitta nigra,spp-black-scoter
Melanitta perspicillata,spp-surf-scoter
Meleagris gallopavo,spp-wild-turkey
Melospiza georgiana,spp-swamp-sparrow
Melospiza lincolnii,spp-lincolns-sparrow
Melospiza melodia,spp-song-sparrow
Mergus merganser,spp-common-merganser
Mergus serrator,spp-red-breasted-merganser
Mimus polyglottos,spp-northern-mockingbird
Mniotilta varia,spp-black-and-white-warbler
Molothrus ater,spp-brown-headed-cowbird
Molothrus bonariensis,spp-shiny-cowbird
Morus bassanus,spp-northern-gannet
Motacilla alba,spp-white-wagtail
Mycteria americana,spp-wood-stork
Myiarchus cinerascens,spp-ash-throated-flycatcher
Myiarchus crinitus,spp-great-crested-flycatcher
Nomonyx dominicus,spp-masked-duck
Numenius americanus,spp-long-billed-curlew
Numenius phaeopus,spp-whimbrel
Nyctanassa violacea,spp-yellow-crowned-night-heron
Nycticorax nycticorax,spp-black-crowned-night-heron
Oceanites oceanicus,spp-wilsons-storm-petrel
Oceanodroma castro,spp-band-rumped-storm-petrel
Oceanodroma leucorhoa,spp-leachs-storm-petrel
Oceanodroma monorhis,spp-swinhoes-storm-petrel
Oenanthe oenanthe,spp-northern-wheatear
Onychoprion anaethetus,spp-bridled-tern
Onychoprion fuscatus,spp-sooty-tern
Oporornis agilis,spp-connecticut-warbler
Oporornis formosus,spp-kentucky-warbler
Oporornis philadelphia,spp-mourning-warbler
Oporornis tolmiei,spp-macgillivrays-warbler
Oreoscoptes montanus,spp-sage-thrasher
Oxyura jamaicensis,spp-ruddy-duck
Pandion haliaetus,spp-osprey
Parula americana,spp-northern-parula
Passer domesticus,spp-house-sparrow
Passerculus sandwichensis,spp-savannah-sparrow
Passerella iliaca,spp-fox-sparrow
Passerina amoena,spp-lazuli-bunting
Passerina caerulea,spp-blue-grosbeak
Passerina ciris,spp-painted-bunting
Passerina cyanea,spp-indigo-bunting
Patagioenas fasciata,spp-band-tailed-pigeon
Pelagodroma marina,spp-white-faced-storm-petrel
Pelecanus erythrorhynchos,spp-american-white-pelican
Pelecanus occidentalis,spp-brown-pelican
Petrochelidon fulva,spp-cave-swallow
Petrochelidon pyrrhonota,spp-cliff-swallow
Phaethon aethereus,spp-red-billed-tropicbird
Phaethon lepturus,spp-white-tailed-tropicbird
Phalacrocorax auritus,spp-double-crested-cormorant
Phalacrocorax carbo,spp-great-cormorant
Phalaropus fulicarius,spp-red-phalarope
Phalaropus lobatus,spp-red-necked-phalarope
Phalaropus tricolor,spp-wilsons-phalarope
Phasianus colchicus,spp-ring-necked-pheasant
Pheucticus ludovicianus,spp-rose-breasted-grosbeak
Pheucticus melanocephalus,spp-black-headed-grosbeak
Philomachus pugnax,spp-ruff
Picoides borealis,spp-red-cockaded-woodpecker
Picoides pubescens,spp-downy-woodpecker
Picoides villosus,spp-hairy-woodpecker
Pinicola enucleator,spp-pine-grosbeak
Pipilo chlorurus,spp-green-tailed-towhee
Pipilo erythrophthalmus,spp-eastern-towhee
Pipilo maculatus,spp-spotted-towhee
Piranga ludoviciana,spp-western-tanager
Piranga olivacea,spp-scarlet-tanager
Piranga rubra,spp-summer-tanager
Platalea ajaja,spp-roseate-spoonbill
Plectrophenax nivalis,spp-snow-bunting
Plegadis chihi,spp-white-faced-ibis
Plegadis falcinellus,spp-glossy-ibis
Pluvialis dominica,spp-american-golden-plover
Pluvialis squatarola,spp-black-bellied-plover
Podiceps auritus,spp-horned-grebe
Podiceps grisegena,spp-red-necked-grebe
Podiceps nigricollis,spp-eared-grebe
Podilymbus podiceps,spp-pied-billed-grebe
Poecile atricapillus,spp-black-capped-chickadee
Poecile carolinensis,spp-carolina-chickadee
Polioptila caerulea,spp-blue-gray-gnatcatcher
Pooecetes gramineus,spp-vesper-sparrow
Porphyrio martinica,spp-purple-gallinule
Porzana carolina,spp-sora
Progne subis,spp-purple-martin
Protonotaria citrea,spp-prothonotary-warbler
Pterodroma arminjoniana,spp-herald-petrel
Pterodroma cahow,spp-bermuda-petrel
Pterodroma feae,spp-feas-petrel
Pterodroma hasitata,spp-black-capped-petrel
Puffinus gravis,spp-greater-shearwater
Puffinus griseus,spp-sooty-shearwater
Puffinus lherminieri,spp-audubons-shearwater
Puffinus puffinus,spp-manx-shearwater
Pyrocephalus rubinus,spp-vermilion-flycatcher
Quiscalus major,spp-boat-tailed-grackle
Quiscalus quiscula,spp-common-grackle
Rallus elegans,spp-king-rail
Rallus limicola,spp-virginia-rail
Rallus longirostris,spp-clapper-rail
Recurvirostra americana,spp-american-avocet
Regulus calendula,spp-ruby-crowned-kinglet
Regulus satrapa,spp-golden-crowned-kinglet
Riparia riparia,spp-bank-swallow
Rissa tridactyla,spp-black-legged-kittiwake
Rynchops niger,spp-black-skimmer
Sayornis phoebe,spp-eastern-phoebe
Sayornis saya,spp-says-phoebe
Scolopax minor,spp-american-woodcock
Seiurus aurocapilla,spp-ovenbird
Seiurus motacilla,spp-louisiana-waterthrush
Seiurus noveboracensis,spp-northern-waterthrush
Selasphorus platycercus,spp-broad-tailed-hummingbird
Selasphorus rufus,spp-rufous-hummingbird
Selasphorus sasin,spp-allens-hummingbird
Setophaga ruticilla,spp-american-redstart
Sialia currucoides,spp-mountain-bluebird
Sialia sialis,spp-eastern-bluebird
Sitta canadensis,spp-red-breasted-nuthatch
Sitta carolinensis,spp-white-breasted-nuthatch
Sitta pusilla,spp-brown-headed-nuthatch
Somateria mollissima,spp-common-eider
Somateria spectabilis,spp-king-eider
Sphyrapicus varius,spp-yellow-bellied-sapsucker
Spiza americana,spp-dickcissel
Spizella arborea,spp-american-tree-sparrow
Spizella pallida,spp-clay-colored-sparrow
Spizella passerina,spp-chipping-sparrow
Spizella pusilla,spp-field-sparrow
Stelgidopteryx serripennis,spp-northern-rough-winged-swallow
Stellula calliope,spp-calliope-hummingbird
Stercorarius longicaudus,spp-long-tailed-jaeger
Stercorarius maccormicki,spp-south-polar-skua
Stercorarius parasiticus,spp-parasitic-jaeger
Stercorarius pomarinus,spp-pomarine-jaeger
Stercorarius skua,spp-great-skua
Sterna dougallii,spp-roseate-tern
Sterna forsteri,spp-forsters-tern
Sterna hirundo,spp-common-tern
Sterna paradisaea,spp-arctic-tern
Sternula antillarum,spp-least-tern
Streptopelia decaocto,spp-eurasian-collared-dove
Strix varia,spp-barred-owl
Sturnella magna,spp-eastern-meadowlark
Sturnella neglecta,spp-western-meadowlark
Sturnus vulgaris,spp-european-starling
Sula dactylatra,spp-masked-booby
Sula leucogaster,spp-brown-booby
Tachycineta bicolor,spp-tree-swallow
Thalassarche chlororhynchos,spp-yellow-nosed-albatross
Thalassarche melanophris,spp-black-browed-albatross
Thalasseus maximus,spp-royal-tern
Thalasseus sandvicensis,spp-sandwich-tern
Thryomanes bewickii,spp-bewicks-wren
Thryothorus ludovicianus,spp-carolina-wren
Toxostoma rufum,spp-brown-thrasher
Tringa erythropus,spp-spotted-redshank
Tringa flavipes,spp-lesser-yellowlegs
Tringa melanoleuca,spp-greater-yellowlegs
Tringa semipalmata,spp-willet
Tringa solitaria,spp-solitary-sandpiper
Troglodytes aedon,spp-house-wren
Troglodytes troglodytes,spp-winter-wren
Tryngites subruficollis,spp-buff-breasted-sandpiper
Turdus migratorius,spp-american-robin
Tyrannus dominicensis,spp-gray-kingbird
Tyrannus forficatus,spp-scissor-tailed-flycatcher
Tyrannus melancholicus,spp-tropical-kingbird
Tyrannus savana,spp-fork-tailed-flycatcher
Tyrannus tyrannus,spp-eastern-kingbird
Tyrannus verticalis,spp-western-kingbird
Tyto alba,spp-barn-owl
Uria aalge,spp-common-murre
Uria lomvia,spp-thick-billed-murre
Vanellus vanellus,spp-northern-lapwing
Vermivora bachmanii,spp-bachmans-warbler
Vermivora celata,spp-orange-crowned-warbler
Vermivora chrysoptera,spp-golden-winged-warbler
Vermivora peregrina,spp-tennessee-warbler
Vermivora pinus,spp-blue-winged-warbler
Vermivora ruficapilla,spp-nashville-warbler
Vireo altiloquus,spp-black-whiskered-vireo
Vireo bellii,spp-bells-vireo
Vireo flavifrons,spp-yellow-throated-vireo
Vireo gilvus,spp-warbling-vireo
Vireo griseus,spp-white-eyed-vireo
Vireo olivaceus,spp-red-eyed-vireo
Vireo philadelphicus,spp-philadelphia-vireo
Vireo solitarius,spp-blue-headed-vireo
Wilsonia canadensis,spp-canada-warbler
Wilsonia citrina,spp-hooded-warbler
Wilsonia pusilla,spp-wilsons-warbler
Xanthocephalus xanthocephalus,spp-yellow-headed-blackbird
Xema sabini,spp-sabines-gull
Zenaida asiatica,spp-white-winged-dove
Zenaida macroura,spp-mourning-dove
Zonotrichia albicollis,spp-white-throated-sparrow
Zonotrichia leucophrys,spp-white-crowned-sparrow
Zonotrichia querula,spp-harriss-sparrow
fraser fir forest (herb subtype) ,saw-hab-fraser-fir-forest-herb-subtype
fraser fir forest (rhododendron subtype) ,saw-hab-fraser-fir-forest-rhododendron-subtype
red spruce–fraser fir forest (herb subtype) ,saw-hab-red-spruce-fraser-fir-forest-herb-subtype
red spruce–fraser fir forest (rhododendron subtype) ,saw-hab-red-spruce-fraser-fir-forest-rhododendron-subtype
red spruce–fraser fir forest (boulderfield subtype),saw-hab-red-spruce-fraser-fir-forest-boulderfield-subtype
red spruce–fraser fir forest (birch transition herb subtype) ,saw-hab-red-spruce-fraser-fir-forest-birch-transition-herb-subtype
red spruce–fraser fir forest (birch transition shrub subtype) ,saw-hab-red-spruce-fraser-fir-forest-birch-transition-shrub-subtype
red spruce–fraser fir forest (low rhododendron subtype) ,saw-hab-red-spruce-fraser-fir-forest-low-rhododendron-subtype
grassy bald (grass subtype),saw-hab-grassy-bald-grass-subtype
grassy bald (sedge subtype ,saw-hab-grassy-bald-sedge-subtype
grassy bald (alder subtype) ,saw-hab-grassy-bald-alder-subtype
heath bald (catawba rhododendron subtype) ,saw-hab-heath-bald-catawba-rhododendron-subtype
heath bald (carolina rhododendron subtype) ,saw-hab-heath-bald-carolina-rhododendron-subtype
heath bald (southern mixed subtype) ,saw-hab-heath-bald-southern-mixed-subtype
heath bald (slate subtype) ,saw-hab-heath-bald-slate-subtype
heath bald (sand myrtle subtype) ,saw-hab-heath-bald-sand-myrtle-subtype
heath bald (low elevation subtype) ,saw-hab-heath-bald-low-elevation-subtype
