id,pri-id,h_id,habitat,p_type,category,priority
183,pri-183,16,early-successional-habitats-macp,S,,"Determine the status of high priority birds (e;g;, Henslow's sparrow, eastern painted bunting, Bachman's sparrow, grasshopper sparow, loggerhead shrike, field sparrow, American woodcock, northern bobwhite, and barn owl) and secondarily for other more widely distributed early successional birds that seem to be declining, such as eastern meadowlark, orchard oriole, eastern kingbird;"
184,pri-184,16,early-successional-habitats-macp,S,,"Determine the status, distribution, and extent of breeding by short-eared owl, northern harrier, and American kestrel;"
185,pri-185,16,early-successional-habitats-macp,S,,Conduct nocturnal surveys for chuck-will's-widow and whip-poor-will;
186,pri-186,16,early-successional-habitats-macp,S,,"Determine the status and distribution of hard to detect species such as dickcissel, bobolink and lark sparrow;"
187,pri-187,16,early-successional-habitats-macp,S,,"Determine the status and distribution of small mammals that are rare or difficult to detect (e;g;, star-nosed mole, shrews, long-tailed weasel, southern bog lemming) and secondarily for other small mammals using early successional habitats;"
188,pri-188,16,early-successional-habitats-macp,S,,Survey for bats foraging in early successional habitats;
189,pri-189,16,early-successional-habitats-macp,S,,"Survey for uncommon and/or hard to detect reptiles (e;g;, eastern diamond-backed rattlesnake, mole kingsnake, eastern coachwhip, eastern slender glass lizard and northern pinesnake) in early successional habitats;"
190,pri-190,16,early-successional-habitats-macp,M,,"Establish MAPS and migration banding stations, especially in shrublands, grasslands, hay fields, and pastures;"
191,pri-191,16,early-successional-habitats-macp,M,,Initiate long-term monitoring for Henslow's sparrow (and other grassland breeding and wintering birds) at the Voice of America (VOA) sites in Pitt and Beaufort Counties (Mangun and Kolb 2000);
192,pri-192,16,early-successional-habitats-macp,M,,"Establish long-term monitoring for declining (according to our best information) early successional bird species in appropriate habitat at all seasons, like Bachman's sparrow (Stober and Krementz 2000);"
193,pri-193,16,early-successional-habitats-macp,M,,"Continue long-term monitoring of early successional birds needed on Game Lands, National and State Forests and National Wildlife Refuges;"
194,pri-194,16,early-successional-habitats-macp,M,,Initiate long-term monitoring of mammal species of early successional habitats on habitat patches of varying sizes (Yates et al; 1997 and Litvaitis 2001);
195,pri-195,16,early-successional-habitats-macp,M,,Establish long-term monitoring of eastern diamond-backed rattlesnake and northern pinesnake (Woodward and Barthalmus 1996);
196,pri-196,16,early-successional-habitats-macp,R,Genetics,Conduct genetics studies of the breeding sub-species of American kestrel in the lower Coastal Plain;
197,pri-197,16,early-successional-habitats-macp,R,Genetics,Conduct genetics studies on Henslow's sparrows at the VOA sites;
198,pri-198,16,early-successional-habitats-macp,R,Genetics,Conduct genetics studies on Coastal Plain shrew species;
199,pri-199,16,early-successional-habitats-macp,R,Habitat use,Examine Chuck-will's-widow and whip-poor-will foraging areas on industrial and non-industrial forestland;
200,pri-200,16,early-successional-habitats-macp,R,Habitat use,Study the effects of patch size and vegetative structure on nesting success of early successional birds (Burhans and Thompson 1999; Ricketts and Ritchison 2000);
201,pri-201,16,early-successional-habitats-macp,R,Habitat use,Study the effects of patch size on small mammal populations (Yates et al; 1997);
202,pri-202,16,early-successional-habitats-macp,R,Habitat use,Conduct movement studies on northern pinesnake and eastern diamond-backed rattlesnake (using telemetry);
203,pri-203,16,early-successional-habitats-macp,R,Population demographics,Conduct bird nest search and spot mapping studies on public land and on industrial forestland on various patch sizes;
204,pri-204,16,early-successional-habitats-macp,R,Population demographics,"Examine loggerhead shrike productivity, especially near farms and Cooperative Upland habitat Restoration and Enhancement Program cooperatives;"
205,pri-205,16,early-successional-habitats-macp,R,Population demographics,Examine nightjar productivity on industrial forestland compared to non-industrial forestland;
206,pri-206,16,early-successional-habitats-macp,R,Population demographics,Examine prairie warbler productivity on industrial forestland compared to non-industrial forestland;
207,pri-207,16,early-successional-habitats-macp,R,Population demographics,Expand bat research on industrial forestland (e;g; Weyerhaeuser and International Paper lands);
208,pri-208,16,early-successional-habitats-macp,R,Predator effects,Examine predators effects on nest productivity of ground- and shrub- nesting birds (Yahner and Wright 1985 and Davison and Bollinger 2000);
209,pri-209,16,early-successional-habitats-macp,R,Predator effects,Determine the effects of cowbirds on early successional bird productivity
210,pri-210,16,early-successional-habitats-macp,R,Predator effects,"Study the impacts of fire ants on bird nests, small mammals and reptiles in disturbed sites (Smith et al; 2004);"
211,pri-211,16,early-successional-habitats-macp,R,Management practices,Determine the effects of clearcut stand size on shrubland birds (Krementz and Christie 2000);
212,pri-212,16,early-successional-habitats-macp,R,Management practices,"Examine the responses of bird communities to early successional habitat in a managed landscape (Wilson and Watts 2000, Yahner 2003);"
213,pri-213,16,early-successional-habitats-macp,R,Management practices,"Determine the effects of silvicultural procedures on breeding, wintering and migrating birds on managed forests (Woodward et al; 2001, Easton and Martin 2002)"
214,pri-214,16,early-successional-habitats-macp,R,Management practices,Determine the effects of clearcut stand size on small mammals and reptiles (Yates et al; 1997);
215,pri-215,17,loblolly-and-slash-pine-forest,S,,Identify locations of red-cockaded woodpecker colonies around and between designated recovery populations;
216,pri-216,17,loblolly-and-slash-pine-forest,S,,Determine breeding status/distribution of Cooper's hawk;
217,pri-217,17,loblolly-and-slash-pine-forest,S,,"Conduct status/distribution surveys for the brown-headed nuthatch, red-headed woodpecker, worm-eating warbler, American kestrel, chuck-will's-widow, whip-poor-will, and common nighthawk;"
218,pri-218,17,loblolly-and-slash-pine-forest,S,,Conduct status/distribution surveys of neotropical migrant landbirds on industrial forestland;
219,pri-219,17,loblolly-and-slash-pine-forest,S,,Conduct species specific surveys for bird species not well tracked by BBS;
220,pri-220,17,loblolly-and-slash-pine-forest,S,,"Determine the status of Bachman's sparrow in stands with the appropriate structure and basal area (e;g;, some industrial forestland stands);"
221,pri-221,17,loblolly-and-slash-pine-forest,S,,Conduct distribution and population surveys for eastern fox squirrel;
222,pri-222,17,loblolly-and-slash-pine-forest,S,,Determine the status and distribution of timber and pigmy rattlesnakes;
223,pri-223,17,loblolly-and-slash-pine-forest,S,,"Determine the status and distribution of priority small mammals, bats, reptiles and amphibians on industrial forestland;"
224,pri-224,17,loblolly-and-slash-pine-forest,M,,"Expand MAPS and migration bird banding stations, especially on industrial forestland;"
225,pri-225,17,loblolly-and-slash-pine-forest,M,,"Conduct long-term monitoring of winter birds, small mammals, bats, reptiles and amphibians on industrial forestland (compare results in older pine forests to those of typical industrial forestland);"
226,pri-226,17,loblolly-and-slash-pine-forest,R,Population demographics,Examine causes of declines among nightjars on industrial forestland (Weyerhaeuser has conducted some of this research already on pine plantations);
227,pri-227,17,loblolly-and-slash-pine-forest,R,Population demographics,Conduct life history studies on priority bat species;
228,pri-228,17,loblolly-and-slash-pine-forest,R,Population demographics,Conduct life history and activity patterns of eastern fox squirrel;
229,pri-229,17,loblolly-and-slash-pine-forest,R,Genetics,Explore possibility of a sub-species for the coastal worm-eating warbler;
230,pri-230,17,loblolly-and-slash-pine-forest,R,Predator effects,Study predator effects (and cowbird parasitism) on bird nest productivity;
231,pri-231,17,loblolly-and-slash-pine-forest,R,Telemetry,Document timber (canebrake) rattlesnake activity patterns on industrial forestland (using telemetry);
232,pri-232,17,loblolly-and-slash-pine-forest,R,Management practices,"Explore the impacts of various silvicultural practices on industrial forestland on neotropical migrants, cavity nesters and ground nesting birds;"
233,pri-233,17,loblolly-and-slash-pine-forest,R,Management practices,Examine the effects of habitat enhancement in Cooperative Upland Habitat Restoration and Enhancement (CURE) project sites on bats and herpetofauna;
234,pri-234,17,loblolly-and-slash-pine-forest,R,Habitat use,Explore habitat-area relationships of shrub-scrub birds on industrial forestland (Lanham and Guynn 1998);
235,pri-235,17,loblolly-and-slash-pine-forest,R,Habitat use,Examine the effects of large scale floods on herpetofauna;
236,pri-236,17,loblolly-and-slash-pine-forest,R,Habitat use,Examine the response of small mammal and herpetofauna to pine management strategies (Hood et al; 2002 and Yates et al; 1997);
237,pri-237,17,loblolly-and-slash-pine-forest,R,Habitat use,Explore bat habitat use of managed pine stands (Ellis et al; 2002);
238,pri-238,18,dry-longleaf-pine,S,,"Focus avian status and distribution surveys on Bachman's sparrow, brown-headed nuthatch, red-headed woodpecker, American kestrel, Henslow's sparrow, nightjars and red-cockaded woodpeckers (on nonfederal lands) first and then continue for other birds using dry longleaf pine habitats; of particular importance is documentation of red-cockaded woodpecker clusters around designated recovery populations (see USFWS 2003);"
239,pri-239,18,dry-longleaf-pine,S,,Conduct winter surveys for Henslow's sparrow in appropriate grass dominated understory habitat (Carrie et al; 2002);
240,pri-240,18,dry-longleaf-pine,S,,"Document the status and distribution of small mammals, bats and eastern fox squirrel;"
241,pri-241,18,dry-longleaf-pine,S,,"Conduct herpetofaunal surveys for eastern tiger salamander, oak toad, Carolina gopher frog, pine barrens treefrog, northern scarletsnake, southern hog-nosed snake, eastern coachwhip, northern pinesnake and pigmy rattlesnake, canebrake rattlesnake and eastern coral snake and expand eventually to include other reptiles and amphibians;"
242,pri-242,18,dry-longleaf-pine,S,,Inventory reptile and amphibian species on key public lands where good examples of this habitat type still exist; then expand to areas not well managed or fragmented;
243,pri-243,18,dry-longleaf-pine,S,,Conduct extensive surveys to determine the status and distribution of the eastern diamondback rattlesnake in order to facilitate initial habitat protection measures;
244,pri-244,18,dry-longleaf-pine,M,,Establish additional MAPS and migration bird banding stations;
245,pri-245,18,dry-longleaf-pine,M,,"Initiate long-term monitoring related to snag ecology and cavity nesting birds during different seasons (e;g;, northern flicker, red-headed woodpecker and brown-headed nuthatch) (Wilson and Watts 1999; Kreisel and Stein 1999);"
246,pri-246,18,dry-longleaf-pine,M,,"Initiate long-term monitoring during breeding, winter and migration periods for all priority landbirds (Wilson and Watts  2000; Brown et al; 2002);"
247,pri-247,18,dry-longleaf-pine,M,,Initiate long-term monitoring for priority reptiles and amphibian species associated with dry longleaf pine systems (Taylor and Jones 2002);
248,pri-248,18,dry-longleaf-pine,R,Genetics,Determine if the southeastern sub-species of the American kestrel breeds and/or winters in these habitats in North Carolina;
249,pri-249,18,dry-longleaf-pine,R,Habitat use,Study nightjar habitat-use and foraging patterns (using telemetry);
250,pri-250,18,dry-longleaf-pine,R,Habitat use,Conduct habitat-use studies on eastern diamondback rattlesnake (using telemetry);
251,pri-251,18,dry-longleaf-pine,R,Habitat use,Explore spatial and temporal distribution patterns of amphibians related to temporary and scattered water sources (similar to current work being done on International Paper lands in the southeastern Coastal Plain);
252,pri-252,18,dry-longleaf-pine,R,Population demographics,"Conduct productivity and nest success research on Bachman's sparrow and brown-headed nuthatch to determine limiting factors for population growth (Wilson and Watts 1999, Stober and Krementz 2000);"
253,pri-253,18,dry-longleaf-pine,R,Population demographics,"Conduct Seminole bat life history research, as well as demographic information on other bats (Ellis et al; 2002);"
254,pri-254,18,dry-longleaf-pine,R,Predator effects,Study predator and cowbird parasitism effects on bird productivity for canopy- and ground-nesting birds;
255,pri-255,18,dry-longleaf-pine,R,Predator effects,Study the effect of fire ants on ground nesting birds and herpetofauna;
256,pri-256,18,dry-longleaf-pine,R,Management practices,"Examine the effects of red-cockaded woodpecker management on other birds and reptiles, amphibians, and bats (Krementz and Christie 1999, Conner et al; 2002, Provencher et al; 2002);"
257,pri-257,18,dry-longleaf-pine,R,Management practices,Develop strategies for pine straw raking that minimizes impacts to understory habitat structure;
258,pri-258,18,dry-longleaf-pine,R,Management practices,Examine the effects of intensive fire management on the habitat requirements of the eastern fox squirrel (Weigl et al; 1989);
259,pri-259,18,dry-longleaf-pine,R,Management practices,"Examine the effects of herbicides used to control hardwoods on non-target herbaceous plants; also, study techniques and preferred chemicals for hardwood control that have the least negative impacts on non-target herbaceous plants;"
260,pri-260,19,pocosin,S,,"Determine status and distribution for Wayne's black-throated green warbler, worm-eating warbler, Swainson's warbler, black-billed cuckoo (may warrant further documentation) and other neotropical migrants, including shrub-scrub specialists like prairie warbler, common yellowthroat and yellow-breasted chat;"
261,pri-261,19,pocosin,S,,Conduct helicopter surveys for red-cockaded woodpeckers;
262,pri-262,19,pocosin,S,,Initiate surveys for priority small mammals and investigate bat use of pocosin habitats;
263,pri-263,19,pocosin,S,,"Initiate amphibian surveys, especially for the oak toad, southern dusky salamander, pine barrens treefrog, and many-lined salamander;"
264,pri-264,19,pocosin,S,,Initiate surveys for reptiles using pocosin habitats;
265,pri-265,19,pocosin,S,,Establish frog call survey stations in pocosin habitats;
266,pri-266,19,pocosin,M,,Establish MAPS and migration bird banding stations in pocosin habitats;
267,pri-267,19,pocosin,M,,Initiate long-term monitoring of breeding and wintering birds in pocosin habitats on public lands and industrial forestland (Karriker 1993 and Watts 2002);
268,pri-268,19,pocosin,M,,Initiate long-term monitoring for mammal populations (including bats) in pocosin habitats on public lands and industrial forestland (Mitchell 1994);
269,pri-269,19,pocosin,M,,Initiate long-term monitoring of reptiles and amphibians in pocosin habitats on public lands and industrial forestland;
270,pri-270,19,pocosin,R,Genetics,Determine the genetic relationships of pocosin habitat small mammals (e;g; shrews and rodents);
271,pri-271,19,pocosin,R,Genetics,Examine the possibility of a sub-species for the coastal worm-eating warbler;
272,pri-272,19,pocosin,R,Habitat use,Examine the relationship between habitat patch size and nesting success of shrubland birds (Burhans and Thompson 1999) and habitat use by small mammals (Litvaitis 2001);
273,pri-273,19,pocosin,R,Habitat use,Measure soft mast (berry) production in pocosins and wintering bird use of these areas;
274,pri-274,19,pocosin,R,Habitat use,Determine breeding bird habitat use in Atlantic white cedar stands;
275,pri-275,19,pocosin,R,Population demographics,"Conduct studies to obtain basic demographics information on priority birds, small mammals, amphibians and reptiles;"
276,pri-276,19,pocosin,R,Predator effects,"Study predator effects on bird nest success and productivity, as well as other productivity or behavioral studies such as nest-searching and spot-mapping, on public lands and industrial forestland (Mamo and Bolen 1999, Karriker 1993);"
277,pri-277,19,pocosin,R,Management practices,"Determine the best ways to burn these sites, or alternative management that will mimic the effects of fire at sites where birds, mammals, reptiles and amphibians are being monitored;"
278,pri-278,19,pocosin,R,Management practices,"Determine how the use of chipping (using a hydro-ax or other heavy chipping machinery) midstory and understory vegetation affects the plant and animal communities;  This practice is becoming more common, particularly in areas where red-cockaded woodpeckers are present;"
279,pri-279,20,wet-pine-savanna,S,,"Conduct priority bird surveys for Bachman's sparrow, Henslow's sparrow, brown-headed nuthatch, American kestrel, nightjars, prairie warbler and red-cockaded woodpeckers (on nonfederal lands), then for other species;"
280,pri-280,20,wet-pine-savanna,S,,"Determine the status and distribution of the long-tailed weasel, as well as small mammals and bats;"
281,pri-281,20,wet-pine-savanna,S,,"Conduct amphibian surveys with focus on the Mabee's salamander, eastern tiger salamander, dwarf salamander, ornate chorus frog, Brimley's chorus frog, Carolina gopher frog and Pine Barrens treefrog (Taylor and Jones 2002);"
282,pri-282,20,wet-pine-savanna,S,,"Determining the status and distribution of hard to find reptile species or species for which we have little information (e;g; pigmy rattlesnake, scarlet kingsnake, pine woods littersnake and glass lizards) (Taylor and Jones 2002);"
283,pri-283,20,wet-pine-savanna,M,,Establish MAPS and bird migration banding stations;
284,pri-284,20,wet-pine-savanna,M,,Establish long-term monitoring for all birds of high conservation concern;
285,pri-285,20,wet-pine-savanna,M,,Establish long-term monitoring for all reptiles and amphibians in this habitat type (Taylor and Jones 2002);
286,pri-286,20,wet-pine-savanna,R,Genetics,Determine the sub-species status of the American kestrel;
287,pri-287,20,wet-pine-savanna,R,Habitat use,Initiate studies of cavity nesters' use of snags in these systems;
288,pri-288,20,wet-pine-savanna,R,Habitat use,Conduct habitat use research on pigmy rattlesnakes;
289,pri-289,20,wet-pine-savanna,R,Predator effects,"Study predator effects (including fire ants) on ground nesting bird nest productivity, and productivity as related to cowbird parasitism (Dawson and Bollinger 2000);"
290,pri-290,20,wet-pine-savanna,R,Predator effects,Study impacts of fire ants on herpetofaunal communities;
291,pri-291,20,wet-pine-savanna,R,Management practices,"Document the response of birds, small mammals, amphibians and reptiles to burned vs; unburned wet savanna habitats;"
292,pri-292,20,wet-pine-savanna,R,Management practices,"Determine habitat response to different seasons/timing of burns (e;g;, winter burns vs; spring burns);"
293,pri-293,20,wet-pine-savanna,R,Management practices,Explore alternatives (herbicides or mechanical) to using fire for the initial restoration of severely fire-suppressed wet pine savannas;
294,pri-294,20,wet-pine-savanna,R,Management practices,Explore hydrologic restoration of extensively drained sites;
295,pri-295,21,floodplain-forest-macp,S,,"Design specific surveys to determine status and distribution of birds not adequately picked up by the Breeding Bird Survey in floodplain forests (e;g;, cerulean warbler, Swainson's warbler, Kentucky warbler, worm-eating warbler, hooded warbler, prothonotary warbler);"
296,pri-296,21,floodplain-forest-macp,S,,Determine the status and distribution of Wayne's black-throated green warbler;
297,pri-297,21,floodplain-forest-macp,S,,"Determine the status and distribution of swallow-tailed kite, Mississippi kite, yellow-crowned night-heron and anhinga (as well as other colonial nesting waterbirds);"
298,pri-298,21,floodplain-forest-macp,S,,"Determine the breeding and roosting status and distribution of chimney swift in natural conditions along major floodplains with appropriate habitat conditions (e;g; older, hollow trees);"
299,pri-299,21,floodplain-forest-macp,S,,"Determine the status and distribution of priority bat species (e;g;, Rafinesque's big-eared bat, northern yellow bat, Seminole bat and southeastern bat);"
300,pri-300,21,floodplain-forest-macp,S,,"Conduct small mammal surveys, especially for the eastern woodrat with a focus on circumneutral soils (other small mammal survey needs include the cotton mouse and southern pygmy shrew);"
301,pri-301,21,floodplain-forest-macp,S,,Determine the status and distribution of the numerous salamanders associated with floodplain forests (Taylor and Jones 2002);
302,pri-302,21,floodplain-forest-macp,S,,"Determine the status and distribution of canebrake rattlesnakes, as well as other snakes using floodplain forest habitats (Taylor and Jones 2002);"
303,pri-303,21,floodplain-forest-macp,S,,Document bald eagle nesting sites;
304,pri-304,21,floodplain-forest-macp,M,,"Continue long-term monitoring of active bald eagle territories, successful breeding pairs, and fledged eagles;"
305,pri-305,21,floodplain-forest-macp,M,,"Conduct long-term monitoring for floodplain forest birds (breeding, migration, and winter periods) in forest patches of varying size (Robbins et al; 1989 and Doherty, Jr; and Grubb, Jr; 2000);"
306,pri-306,21,floodplain-forest-macp,M,,"Establish MAPS and migration banding stations, as well as specialized long-term monitoring for hard to sample species such as cerulean and Swainson's warbler (Graves 2001);"
307,pri-307,21,floodplain-forest-macp,M,,Establish long-term monitoring for all bat species;
308,pri-308,21,floodplain-forest-macp,M,,Establish long-term monitoring for herpetofauna using floodplain forest habitat (especially breeding salamanders and canebrake rattlesnakes);
309,pri-309,21,floodplain-forest-macp,R,Genetics,Research the genetic makeup of the coastal population of the black-throated green warbler;
310,pri-310,21,floodplain-forest-macp,R,Genetics,Research the genetic relationships among floodplain salamanders;
311,pri-311,21,floodplain-forest-macp,R,Management practices,"Examine the response of bird, amphibian, small mammal and plant communities to canopy gap management (Kilgo et al; 1999, Grialou et al; 2000, Twedt et al; 2001 and Moorman et al; 2002);"
312,pri-312,21,floodplain-forest-macp,R,Management practices,"Examine the impacts of long-term flooding regimes on ground-nesting birds (e;g;, Swainson's warbler) (Swift et al; 1984); similar studies are also needed for salamanders;"
313,pri-313,21,floodplain-forest-macp,R,Management practices,Determine the conservation and restoration efforts needed for canebrake rattlesnakes in floodplain forests (Brantley and Platt 2001);
314,pri-314,21,floodplain-forest-macp,R,Predator effects,Conduct bird productivity research (especially neotropical migrants) with a focus on nest searching studies to determine the predator community and bird nesting success in patches of different size and with various landscape context (Rodewald and Yahner 2001);
315,pri-315,21,floodplain-forest-macp,R,Population demographics,Obtain information on the demographics and habitat-use of floodplain neotropical migrant landbirds during breeding and migration periods (Donovan et al; 2002);
316,pri-316,21,floodplain-forest-macp,R,Population demographics,"Examine demographics and habitat-use of bats in floodplain forests; there is also a need to identify, monitor, and maintain (or recruit) key bat habitats and microhabitats in floodplain forests (Ellis et al; 2002);"
317,pri-317,21,floodplain-forest-macp,R,Population demographics,Examine the demographics and habitat-use of small mammals in floodplain forests (Yates et al; 1997);
318,pri-318,21,floodplain-forest-macp,R,Habitat use,Conduct studies (similar to the long-term studies ongoing in South Carolina) to document habitat-use and nesting success of Swainson's warbler in managed and unmanaged systems (Graves 2002 and Somershoe et al; 2003);
319,pri-319,21,floodplain-forest-macp,R,Habitat use,"Study the effects of riverine buffer width characteristics on bird species diversity, richness, survival, nest success and productivity (Perkins et al; 2003) (similar studies also needed for small mammals, bats, amphibians and reptiles to determine long-term productivity in buffers of various widths);"
320,pri-320,21,floodplain-forest-macp,R,Habitat use,"Examine resource abundance (e;g;, insects and fruits) in canopy gaps and use by breeding and migrant birds (Blake and Hoppes 1986);"
321,pri-321,21,floodplain-forest-macp,R,Habitat use,Study the territory and nest-site selection of cerulean warblers along the Roanoke River (Jones and Robertson 2001);
322,pri-322,21,floodplain-forest-macp,R,Habitat use,"Examine the demographics, habitat-use patterns, and impacts of feral hogs on ground nesting birds, salamanders and small mammals (Warren and Ford 1997);"
323,pri-323,21,floodplain-forest-macp,R,Habitat use,Examine the effects of habitat patch size on small mammal populations (Yates et al 1997);
324,pri-324,21,floodplain-forest-macp,R,Habitat use,Determine the habitat-use patterns of salamanders and reptiles in floodplain forests;
325,pri-325,21,floodplain-forest-macp,R,Habitat use,Document habitat-use patterns of canebrake rattlesnakes in floodplain forests (using telemetry);
326,pri-326,21,floodplain-forest-macp,R,Habitat use,Study the impacts of beaver and beaver ponds on species composition (both flora and fauna) to determine negative or positive impacts of beaver or beaver control measures;
327,pri-327,21,floodplain-forest-macp,R,Habitat use,Study nutria impacts on both floral and faunal communities and individual species;
328,pri-328,22,nonalluvial-mineral-wetlands,S,,"Determine the status of yellow-crowned night-heron (and other colonial nesting birds), and Wayne's black-throated green warbler as well as other neotropical migrants that are not well sampled by BBS;"
329,pri-329,22,nonalluvial-mineral-wetlands,S,,"	Document the status and distribution of priority bat species (e;g; Rafinesque's bigeared bat, northern yellow bat, Seminole bat and southeastern bat) in this habitat;"
330,pri-330,22,nonalluvial-mineral-wetlands,S,,Conduct eastern woodrat surveys and subsequently establish standardized long-term monitoring of the species in this habitat;
331,pri-331,22,nonalluvial-mineral-wetlands,S,,"	Determine the status and distribution of canebrake and pigmy rattlesnakes;"
332,pri-332,22,nonalluvial-mineral-wetlands,S,,"	Survey for other high priority snakes and lizards;"
333,pri-333,22,nonalluvial-mineral-wetlands,M,,Establish long-term monitoring for Wayne's black-throated green warbler and other neotropical migrants that are not well tracked by BBS in this habitat type;
334,pri-334,22,nonalluvial-mineral-wetlands,M,,Establish MAPS and migration bird banding stations;
335,pri-335,22,nonalluvial-mineral-wetlands,M,,"Following the establishment of surveys to document priority bat use of the habitat, continue with long-term monitoring;"
336,pri-336,22,nonalluvial-mineral-wetlands,M,,"Following the establishment of surveys to document priority reptile use of the habitat, continue with long-term monitoring;"
337,pri-337,22,nonalluvial-mineral-wetlands,R,,Conduct home-range and movement research on timber (canebrake) and pigmy rattlesnakes (possibly on other snakes of conservation concern as well);
338,pri-338,22,nonalluvial-mineral-wetlands,R,,Conduct genetics research to determine if the coastal worm-eating warbler is a separate sub-species;
339,pri-339,22,nonalluvial-mineral-wetlands,R,,Explore alternatives (herbicides or mechanical) to using fire for the initial restoration of severely fire suppressed non-alluvial wetlands;
340,pri-340,23,cove-forest,I,,"Focus initial survey efforts on state-listed species, and others that may be declining (e;g; Cooper's hawk, sharp-shinned hawk, brown creeper, black-billed cuckoo, cerulean warbler, yellow-bellied sapsucker, green salamander, seepage salamander, pigmy salamander, Tellico salamander, and zigzag salamander);"
342,pri-342,23,cove-forest,I,,"Conduct surveys to understand current status of species believed to be more common, from which we can measure future population changes;  Examples of such species include:  Swainson's warbler, silver-haired bat, long-tailed weasel, woodland jumping mouse, eastern mole, smoky shrew, masked shrew, spotted salamander, marbled salamander, ravine salamander, eastern hognose snake, and eastern smooth earthsnake;"
344,pri-344,23,cove-forest,R,Genetics,Green salamander movement/habitat use and genetics studies;
345,pri-345,23,cove-forest,R,Habitat,Habitat use studies for certain bird species (especially cerulean warbler and yellow-bellied sapsuckers);
346,pri-346,23,cove-forest,R,Habitat,"Studies of bird, amphibian, and vegetation responses to gap management or specific timber harvest regimes (e;g;, cerulean warbler, Swainson's warbler, yellow-bellied sapsucker, and various plethodontid salamanders);"
347,pri-347,23,cove-forest,R,Population demographics,"Studies of neotropical migrant birds to get information on demographics through nest searching spot mapping, telemetry;"
348,pri-348,24,lakes-and-reservoirs-macp,S,,"Conduct status and distribution survey work for bald eagle, anhinga, common moorhen, swallows, wood stork, yellow-crowned night-heron (and other ibis, herons and egrets);"
349,pri-349,24,lakes-and-reservoirs-macp,S,,"Document the status and distribution of rails at all times of the year, and least bittern use of marsh areas;"
350,pri-350,24,lakes-and-reservoirs-macp,S,,Document breeding landbird use of water-filled Carolina bay edges (Mamo and Bolen 1999);
351,pri-351,24,lakes-and-reservoirs-macp,S,,Establish survey stations for foraging bats;
352,pri-352,24,lakes-and-reservoirs-macp,S,,"Document the status and distribution of uncommon or hard to find reptiles (e;g; eastern chicken turtle, eastern mudsnake, glossy crayfish snake); initiate surveys for other reptiles and amphibians using lentic habitats;"
353,pri-353,24,lakes-and-reservoirs-macp,S,,Establish frog call survey stations at several sites in the Coastal Plain on public lands (and if possible on private lands);
354,pri-354,24,lakes-and-reservoirs-macp,M,,"Continue long-term monitoring for bald eagles and expand long-term monitoring for nesting ospreys, rails and other marshbirds;"
355,pri-355,24,lakes-and-reservoirs-macp,M,,Continue surveys and monitoring of heronries;
356,pri-356,24,lakes-and-reservoirs-macp,M,,Establish long-term monitoring for all pond turtles (often subject to collection);
357,pri-357,24,lakes-and-reservoirs-macp,M,,Conduct monitoring to track impacts of exotics on native wildlife;
358,pri-358,24,lakes-and-reservoirs-macp,R,,"Track and identify problems associated with avian vacuolar myelinopathy that cause mortality in American coots, other waterfowl, and bald eagles (to continue to follow up on recent research) (Augspurger et al; 2003);"
359,pri-359,24,lakes-and-reservoirs-macp,R,,"Conduct movement research for eastern chicken turtle and some snakes (e;g; eastern mudsnake, common rainbow snake and glossy crayfish snake), using telemetry;"
360,pri-360,25,riverine-aquatic-communities-macp,S,,Determine the status and distribution of manatees in coastal rivers;
361,pri-361,25,riverine-aquatic-communities-macp,S,,Determine the components of foraging bat communities along rivers;
362,pri-362,25,riverine-aquatic-communities-macp,S,,"Determine the status and distribution for priority herpetofauna associated with coastal plain riverine aquatic communities (e;g; river frog, many-lined salamander, sandhills salamander, greater siren, Neuse River waterdog, Gulf Coast spiny softshell, eastern chicken turtle, striped mud turtle, common rainbow snake, eastern mudsnake, glossy crayfish snake, black swamp snake) and secondarily for other reptiles and amphibians using riverine habitat;"
363,pri-363,25,riverine-aquatic-communities-macp,S,,Better determine the status and distribution of the American alligator;
364,pri-364,25,riverine-aquatic-communities-macp,M,,Establish long-term efforts to monitor the northward range expansion of the manatee;
365,pri-365,25,riverine-aquatic-communities-macp,M,,Establish long-term monitoring of bats using riverine habitat for foraging;
366,pri-366,25,riverine-aquatic-communities-macp,M,,Establish long-term monitoring for priority amphibian and reptiles;
367,pri-367,25,riverine-aquatic-communities-macp,R,Genetics,"Verify the genetic makeup of the sandhills salamander, which has yet to be formally described;"
368,pri-368,25,riverine-aquatic-communities-macp,R,Population demographics,"Collect basic demographics information on riverine-associated reptiles, amphibians and bats;"
369,pri-369,25,riverine-aquatic-communities-macp,R,Management practices,Determine the effect of buffer widths on amphibian and reptile species diversity and productivity;
370,pri-370,25,riverine-aquatic-communities-macp,R,Management practices,"Determine the impacts of ""snagging"" (removing woody debris after storms) on wildlife populations;"
371,pri-371,25,riverine-aquatic-communities-macp,R,Management practices,Examine the extent and impact of exotic species introductions; conduct research on effective control measures for the most problematic exotics;
372,pri-372,25,riverine-aquatic-communities-macp,R,Management practices,Investigate the effect of beaver ponds on downstream movement of pollutants (toxins and sediment);
373,pri-373,25,riverine-aquatic-communities-macp,R,Habitat use,"Examine foraging and habitat use patterns of bats, using telemetry;"
